FID;rate_5;rate_10;rate_25;rate_50;rate_100;rate_300;rate_500;rate_1000;rate_2000;ari10;ari50;ari100;ari200;ari500;ari1000;ari2500;ari500P;ari500M;ari500LL;ari500ZL;POINT_X;POINT_Y
0;0.063030476490166;0.029339194720616;0.009517887238737;0.003625257814089;0.001187556379472;0.000124672237103;0.000033406879381;0.000004048045424;0.000000326569808;0.100000000000000;0.138293147147858;0.240538298401216;0.400708317333559;0.732924187049610;1.098953887132962;1.770277048040907;1.313724212993722;0.359526472369032;0.479664814716965;0.397552937767107;190.373611450000000;65.640220642100005
1;0.068113585935607;0.032562167896929;0.010987886020012;0.004211113597251;0.001346437114817;0.000138117984312;0.000038527042611;0.000005297637779;0.000000517984308;0.100000000000000;0.153081884805799;0.268407669743604;0.444234053177788;0.795296089593495;1.174046711888519;1.858379460261556;1.408812086987176;0.417425718688192;0.499561291873499;0.388057484170101;189.971481323000010;65.638092040999993
2;0.068650677759398;0.032535960242413;0.010752224846429;0.004115682262636;0.001367553702882;0.000160094638609;0.000047365253296;0.000006864775758;0.000000688938600;0.100000000000000;0.151766181621930;0.263825477649640;0.436901636581662;0.794597532973236;1.195518788064578;1.940302973975359;1.441752421187673;0.401509091654046;0.509326747088609;0.447205405655080;189.811279297000000;65.444564819299998
3;0.074494655111675;0.035227791770071;0.011640033098358;0.004532964202426;0.001544304974360;0.000180576011059;0.000051778444565;0.000006965891223;0.000000629312940;0.100000000000000;0.161878426418650;0.280677136563342;0.466130823516139;0.853163164634185;1.283039514348572;2.071649662212701;1.592131704783309;0.422335887381928;0.559111187326828;0.486981523533657;189.573867798000010;65.262443542499994
4;0.066778980630454;0.031523597196244;0.010578647907444;0.004205514974044;0.001460299220578;0.000173815762448;0.000050070182939;0.000006764399504;0.000000611917568;0.100000000000000;0.148120341266596;0.261019343960465;0.441019856670959;0.821257117281817;1.247823177307802;2.027256068543475;1.545032640015792;0.395642247318069;0.547716099223043;0.484043840634047;189.202606201000010;65.177551269500000
5;0.066096023956220;0.030778533305917;0.010233165911220;0.004117067526532;0.001468412860237;0.000183315243028;0.000053684298814;0.000007358980209;0.000000671297866;0.100000000000000;0.144423711485585;0.254373826912820;0.433193986929471;0.819717670742962;1.258829303455186;2.066941826462203;1.549505133226566;0.377968760932352;0.556940137258955;0.515930686243700;188.827804565000010;65.112442016599999
6;0.069550883654878;0.032819265889965;0.010921680136988;0.004257839427060;0.001445123578161;0.000171007804717;0.000049936834577;0.000006963838814;0.000000659518293;0.100000000000000;0.152976736217296;0.267308171558918;0.446151341807745;0.818965967928399;1.237341032794957;2.007101064363276;1.529019080508376;0.396396919438050;0.533317831951704;0.468697033980751;188.402557373000010;65.145767211899994
7;0.065603415234409;0.030996525970210;0.010452240049673;0.004190305898578;0.001510592850157;0.000214225953615;0.000070313089128;0.000011826109252;0.000001390912201;0.100000000000000;0.146276049292708;0.258615250330312;0.439117455315462;0.831924583400124;1.290752948977958;2.176808974590264;1.635836135386893;0.384741444591322;0.552298837876558;0.474033686121208;188.309265137000010;64.965789794900004
8;0.087870826557927;0.041067633484489;0.013651640984700;0.005498155444772;0.001991801927916;0.000271308865410;0.000085251651229;0.000013254490178;0.000001419692427;0.100000000000000;0.183565328974408;0.318902020077223;0.535485520666951;0.995724725902853;1.514579925771572;2.475135308957134;1.904658854350777;0.460880352613373;0.663831112844198;0.580878033662137;188.354217529000010;64.747817993200002
9;0.111802967936965;0.052915248570827;0.017533304793898;0.006904621182562;0.002408820842860;0.000306239055473;0.000093823067893;0.000014265952474;0.000001512025538;0.100000000000000;0.225282613670768;0.382586537237768;0.623628134479870;1.116703838351328;1.658286209284705;2.640300486701209;2.019689456556411;0.550175546989492;0.715174698165163;0.607055598152653;188.270889282000010;64.531867981000005
10;0.145754204585676;0.071428134658987;0.024575084760733;0.009871458586410;0.003467727363959;0.000446733466963;0.000141111058241;0.000023337339908;0.000002823830438;0.100000000000000;0.294294234952368;0.494671157148291;0.792401451305127;1.380514218452666;2.011624791391888;3.152437216825763;2.420190655926959;0.716127400865898;0.844266972734554;0.674277919703062;188.070892334000010;64.352088928200004
11;0.168395522601211;0.081735489531738;0.027202648962677;0.010649074286743;0.003737117762185;0.000523173733708;0.000176651418099;0.000032196387136;0.000004262298255;0.100000000000000;0.316109026192980;0.522261507807766;0.830107195284183;1.454172547647978;2.145220818679824;3.416635950234357;2.753918272081481;0.700385684537520;0.899707564510583;0.733439689063110;187.955917357999990;64.139190673800002
